crash_id,latitude,longitude,date,day_of_week,killed,injured,severity
1943,19.03051888682999,78.08491943714861,2023-04-06 00:00:00,thursday,1,0,5
1944,19.10521710167578,77.96406476339503,2023-04-07 00:00:00,friday,2,0,10
1977,16.08612490848828,77.897145670451,2023-04-16 00:00:00,sunday,1,0,5
2003,17.61320385456023,77.99287683256648,2023-04-20 00:00:00,thursday,2,1,11
2052,17.06817761808438,78.20821283801763,2023-04-30 00:00:00,sunday,1,0,5
2064,17.95962501684719,79.82035918397776,2023-05-02 00:00:00,tuesday,2,0,10
2068,17.48545375968675,78.49244323202527,2023-05-03 00:00:00,wednesday,1,1,6
2113,17.56342679834879,78.16770899013699,2023-05-12 00:00:00,friday,2,5,15
2125,17.209109244273062,80.325958696251,2023-05-17 00:00:00,wednesday,6,6,36
2135,17.399204732101218,78.2978296792505,2023-05-19 00:00:00,friday,4,8,28
2140,17.831677149948206,80.47934896924103,2023-05-20 00:00:00,saturday,1,0,5
2156,18.254448229292652,79.79804790757784,2023-05-23 00:00:00,tuesday,2,0,10
2161,18.185689871947872,78.99827938163496,2023-05-22 00:00:00,monday,2,0,10
2217,17.221873806921188,80.28852864196776,2023-05-29 00:00:00,monday,3,1,16
2219,16.952227067226254,78.34649925869014,2023-05-31 00:00:00,wednesday,2,0,10
2229,18.79004629083924,78.91567433760554,2023-06-05 00:00:00,monday,2,0,10
2257,18.548883113647605,78.92095323598625,2023-06-12 00:00:00,monday,7,2,37
2266,17.328789071705273,78.57527231688721,2023-06-11 00:00:00,sunday,1,0,5
2279,18.1910150092227,79.94125134695838,2023-06-16 00:00:00,friday,2,0,10
2287,17.45545988105435,80.03897049783521,2023-06-18 00:00:00,sunday,1,0,5
2288,17.99746582469721,79.55341351504958,2023-06-18 00:00:00,sunday,1,0,5
2292,17.33957787635739,77.65964276766196,2023-06-18 00:00:00,sunday,1,7,12
2314,18.120734574152223,79.75291085449805,2023-06-25 00:00:00,sunday,4,2,22
2386,17.42476346699409,78.49797381056858,2023-07-08 00:00:00,saturday,4,5,25
2411,17.77723778893274,79.28347228780784,2023-07-15 00:00:00,saturday,2,0,10
2419,17.580734513527336,78.57458477358307,2023-07-17 00:00:00,monday,3,2,17
2437,17.308214301282167,78.55531807967219,2023-07-25 00:00:00,tuesday,1,0,5
2458,17.473417558726116,78.57074115954661,2023-07-30 00:00:00,sunday,2,0,10
2461,17.557436347284387,78.34436305025429,2023-07-30 00:00:00,sunday,2,1,11
2527,18.62496698970267,79.57414967110049,2023-08-14 00:00:00,monday,2,3,13
2529,17.79050970644225,79.59373705001147,2023-08-16 00:00:00,wednesday,4,3,23
2545,17.681089254303846,77.61236092908304,2023-08-18 00:00:00,friday,2,0,10
2558,17.271495902783936,78.47430228461764,2023-08-20 00:00:00,sunday,2,1,11
2568,17.451342787330926,78.38104333538644,2023-08-23 00:00:00,wednesday,1,0,5
2599,17.319861649675634,78.64434500581801,2023-08-31 00:00:00,thursday,1,0,5
2648,17.449129886423822,78.25477198834997,2023-09-10 00:00:00,sunday,2,2,12
2675,17.588710098623007,79.65332844484782,2023-09-13 00:00:00,wednesday,4,0,20
2739,16.763246437985266,78.15064385224638,2023-10-09 00:00:00,monday,1,25,30
2748,17.631719415244262,78.4815008422224,2023-10-12 00:00:00,thursday,2,0,10
2755,17.581943668687206,78.56121334706427,2023-10-13 00:00:00,friday,2,2,12
2785,17.236281138930124,78.54118460268297,2023-10-27 00:00:00,friday,1,3,8
2839,17.979652444087705,79.52818951446417,2023-12-01 00:00:00,friday,1,0,5
2874,17.38112657071704,78.53959141388057,2023-12-17 00:00:00,sunday,1,7,12
2887,17.309901967775204,78.43556473406295,2023-12-24 00:00:00,sunday,1,3,8
